seq,first,last,age,street,city,state,zip,dollar,pick,date
1,Brian,Reese,46,Odines Glen,Fatusva,HI,68986,$224.13,YELLOW,05/21/1950
2,Josie,Saunders,33,Saso Mill,Uwsujon,NC,39997,$8224.79,RED,09/09/1989
3,Calvin,McDonald,30,Fuwis Way,Bovdirnoh,OH,99660,$8087.42,WHITE,07/12/1915
4,Douglas,Bradley,55,Nemne Loop,Labfesjaw,RI,91930,$5217.58,YELLOW,02/21/2040
5,Gregory,Ramirez,55,Ruet Glen,Hesoilo,IN,04831,$5194.87,GREEN,12/18/2047
6,Eliza,Brady,35,Vinzek Heights,Kovihi,AZ,65934,$8583.49,WHITE,08/10/2004
7,Pearl,Crawford,61,Bikum Highway,Vakowpi,AR,24241,$1038.35,YELLOW,01/12/2050
8,Ellen,Collier,23,Cerkuf Drive,Fecudi,IL,62904,$4124.51,WHITE,08/08/1963
9,Leona,Gonzalez,21,Vagos Park,Teturos,DC,37393,$4263.74,RED,12/24/1926
10,Millie,Bennett,21,Ugeta Heights,Dofubjis,AR,01883,$4600.57,BLUE,05/06/2065
11,Luke,Curtis,20,Tina Ridge,Tauhse,IA,13469,$8213.13,RED,06/05/1945
12,Flora,Stewart,44,Rowte Ridge,Sizahoz,IL,42486,$2134.80,RED,12/31/1985
13,Emilie,Dunn,24,Woskuc Loop,Jutpovov,DE,85372,$5161.14,WHITE,08/10/1986
14,Logan,Flores,41,Hivuk Drive,Curepfoz,IN,42030,$1819.30,GREEN,04/26/2031
15,Miguel,Patton,56,Ciar Lane,Puejcik,AL,03813,$2387.96,GREEN,07/20/1900
16,Martin,Lane,25,Jokzel Point,Feapezo,WV,17139,$1686.39,YELLOW,08/06/1916
17,Benjamin,King,51,Etirop Grove,Lurakaz,HI,61214,$1117.84,GREEN,11/17/1967
18,Theodore,Pratt,64,Osiwol Glen,Vahdeles,WI,74663,$7106.95,WHITE,01/26/1983
19,Linnie,Ford,60,Lolo Parkway,Eninirju,CO,08170,$7310.15,RED,03/25/1950
20,Myrtie,Henderson,22,Ojiju Circle,Rusojur,UT,31987,$4485.05,WHITE,09/01/2034
21,Amanda,Roy,23,Babfa Pike,Paaftej,MI,31490,$9115.04,WHITE,12/09/1962
22,Gordon,Garza,33,Geoj Lane,Pawrivi,ID,98578,$2906.33,GREEN,08/13/1966
23,Cordelia,McCoy,24,Poona Highway,Vibocfip,WI,37416,$450.12,YELLOW,11/28/2001
24,Irene,Hopkins,41,Lubjaf Ridge,Irpumhab,MS,13507,$8587.04,GREEN,12/14/2035
25,Charlie,Brooks,24,Viwo Trail,Fawwile,CO,95233,$4157.65,RED,01/27/1994
26,Alfred,Quinn,57,Punam Point,Ebazobe,PA,87473,$5380.83,GREEN,12/11/1954
27,Alice,Berry,61,Codap Drive,Dikuleulu,NM,22655,$904.22,GREEN,03/25/1904
28,Olive,Drake,58,Puhtur River,Nujaspu,MO,99858,$2268.61,GREEN,01/24/1975
29,Matilda,Palmer,56,Borur Trail,Motwomli,VT,77608,$1925.44,WHITE,08/30/1920
